match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_perform,p2_perform,p1_state,p2_state,last_winner,p1_momt,p2_momt
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,0.0,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,7.84,2,95.0,BC,NCTL,ND,-1.653,0.653,0,0,0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,38.0,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,118.0,B,CTL,ND,-1.306,0.306,0,0,2,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,61.0,1,1,3,0,0,0,0,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.8,19.808,4,120.0,B,NCTL,D,-2.959,0.959,0,0,1,-0.8500000000000001,0.26
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,91.0,1,1,4,0,0,0,0,1,2,1,1,1,2,2,0,0,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51.108,75.631,13,130.0,BW,CTL,D,-1.612,-0.388,0,0,2,0.6,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,141.0,1,1,5,0,0,0,0,2,2,1,1,1,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649,0.813,1,112.0,W,NCTL,,-0.265,-0.735,0,0,1,1.46,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,170.0,1,1,6,0,0,0,0,3,2,1,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,97.0,BW,NCTL,ND,-0.918,-0.082,0,0,1,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,213.0,1,1,7,0,0,0,0,3,3,1,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.817,17.821,1,109.0,W,CTL,D,0.429,-0.429,0,0,2,1.46,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,241.0,1,1,8,0,0,0,0,4,3,1,2,2,4,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.503,18.067,6,105.0,B,NCTL,ND,-0.224,2.224,0,0,1,0.0,1.2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,288.0,1,1,9,0,0,0,0,3,3,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34.489,24.594,7,128.0,BC,CTL,D,1.123,1.877,0,0,2,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,332.0,1,1,10,0,0,0,0,4,3,1,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,110.0,B,NCTL,ND,1.47,1.53,0,0,1,0.26,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,425.0,1,2,11,0,0,1,0,0,0,2,1,2,6,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.785,4.915,1,112.0,W,CTL,D,-0.347,1.347,2,0,0,0.6,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,448.0,1,2,12,0,0,1,0,0,1,2,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.744,18.244,4,130.0,W,NCTL,D,0.306,0.694,2,0,2,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,486.0,1,2,13,0,0,1,0,1,1,2,1,1,8,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.013,18.626,4,120.0,C,NCTL,D,0.959,-0.959,2,0,1,0.86,-0.8500000000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,521.0,1,2,14,0,0,1,0,2,1,2,1,2,8,6,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.667,7.112,3,128.0,W,NCTL,ND,0.612,0.388,2,0,1,0.86,0.6
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,551.0,1,2,15,0,0,1,0,2,2,2,1,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,2.237,1,130.0,C,NCTL,ND,0.265,0.735,2,0,2,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,577.0,1,2,16,0,0,1,0,2,3,2,2,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,4.307,2,97.0,BW,NCTL,D,0.918,0.082,2,0,2,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,620.0,1,2,17,0,0,1,0,3,3,2,1,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.245,5.499,1,124.0,BC,NCTL,,0.571,0.429,2,0,1,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,645.0,1,2,18,0,0,1,0,3,4,2,1,2,9,9,2,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,15.194,16.594,3,116.0,C,NCTL,ND,0.224,2.776,2,0,2,0.6,1.2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,684.0,1,3,19,0,0,1,1,0,0,1,1,1,10,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,1.073,1,126.0,C,CTL,,1.347,-0.347,0,0,0,0.0,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,707.0,1,3,20,0,0,1,1,1,0,1,1,1,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.088,34.756,5,127.0,W,CTL,D,1.694,-0.694,0,0,1,0.26,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,737.0,1,3,21,0,0,1,1,2,0,1,1,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.288,10.818,2,114.0,BW,NCTL,D,1.041,-0.041,0,0,1,0.26,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,764.0,1,3,22,0,0,1,1,2,1,1,1,1,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.166,32.944,9,127.0,B,NCTL,ND,1.388,-1.388,0,0,2,0.26,-0.8500000000000001
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,806.0,1,3,23,0,0,1,1,3,1,1,2,1,13,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.782,4.479,1,103.0,BC,NCTL,D,1.735,-1.735,0,0,1,0.26,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,931.0,1,4,24,0,0,2,1,0,0,2,2,2,13,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.601,13.713,3,107.0,BC,NCTL,ND,-1.347,0.347,2,0,0,0.6,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,975.0,1,4,25,0,0,2,1,0,1,2,1,2,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.925,13.976,3,111.0,BW,NCTL,ND,-1.694,0.694,2,0,2,0.86,0.0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1007.0,1,4,26,0,0,2,1,0,2,2,1,2,13,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,1.067,1,125.0,C,NCTL,,-2.041,2.041,2,0,2,0.6,1.2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1028.0,1,4,27,0,0,2,1,0,3,2,1,2,13,14,2,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.027,7.402,3,126.0,W,NCTL,,-2.388,3.388,2,0,2,0.6,0.86
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,1069.0,1,5,28,0,0,2,2,0,0,1,1,1,14,14,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.352,29.366,5,116.0,W,CTL,ND,1.347,-0.347,0,0,0,0.0,0.0
